antibody_id,virus_id,neut
2408c.3,3589_V1_C4,0
VRC34-UCA,703010217_B6,0
PC39-45B,TRJO4551_58,0
CH103,CNE31,0
ACS122,6240_08_TA5_4622,0
DH270.6,CNE40,0
CH04,B035_ENV09,0
VRC34.05,R1166_C1,0
PGT135,DU422_1,0
VRC03,246_F3_C10_2,0
GPZ6-a.01,3637_V5_C3,0
vFP49.02,DU123_06,0
PC39-28E,BJOX009000_02_4,0
Z13e1,CNE21,0
F105,246_F3_C10_2,0
HmAb64,BJOX028000_10_3,0
F105,RHPA4259_7,0
2413a,3817_V2_C59,0
DH851.1,CE0682_E4,0
VRC42.02,3415_V1_C1,0
VRC33.01,TZBD_02,0
PCT64-35E,92BR020,0
PCDN-38B,Q769_D22,0
447-52D,X2131_C1_B5,0
A12V163-a.02,6644_V2_C33,0
vFP49.02,A03349M1_VRC4A,0
VRC46.01,TZA125_17,0
vFP48.02,92BR025_9,0
A12V163-a.01,7165_18,0
6561-a.01,KNH1209_18,0
VRC01,TV1_21,0
447-52D,B008_ENV05,0
PCT64-35M,6041_V3_C23,0
PGT121,0077_V1_C16,0
DFPH-a.03,R1166_C1,0
PC39-28E,001428_2_42,0
CAP257-RH1,BR07,0
VRC26.19,REJO4541_67,0
HJ16,B006_ENV02,0
0PV-a.01,Q769_D22,0
DH1317.4,1245045,0
DH1317.4,3103_V3_C10,0
VRC26.05,AC10_29,0
PC39-23A,A07412M1_VRC12,0
2413a,MN_3,0
1F7,APV_6,0
DFPH-a.03,X1632_S2_B10,0
6561-a.01,CE0682_E4,0
PCDN-16A,QH0692_42,0
VRC23,WITO4160_33,0
T646-a.01,Q769_D22,0
VRC26.26,1012_11_TC21_3257,0
2408c.3,T250_4,0
PGT136,APV_13,0
VRC41.01,X1632_S2_B10,0
SF5,CNE20,0
10-1074,91C34_W12_S11_12_5,0
E51,3016_V5_C45,0
EN02_05_B08,92BR025_9,0
b13,AC10_29,0
CH04,703357_C2,0
6070-a.01,0260_V5_C36,0
VRC26.18,WITO4160_33,0
ElsE1,PVO_4,0
HJ16,CNE10,0
DH270 IA4,THRO4156,0
10-1074,Q461_E2,0
PC39-17C,REJO4541_67,0
DH796.1,B005018_8_F6_3,0
PCIN66B,T278_50,0
PC39-50K,CNE20,0
m66,MI369_A5,0
TRNM-a.01,R1166_C1,0
M1214_N2.2,3103_V3_C10,0
0PV-b.01,235_47,0
PGT128,B004_ENV02,0
35O22,SF162,0
HERH-a.01,CAP256_SU,0
E70,CH119_10,0
2408b,231965_C1,0
48d,3337_V2_C6,0
Bess4,231966_C2,0
VRC26.29,MB201_A1,0
3BC176,231965_C1,0
IOMA,CNE7,0
2F5,98_F4_H5_13,0
Z13e1,3168_V4_C10,0
DH272,CNE58,0
0PV-b.01,6838_V1_C35,0
b6,TRO_11,0
PG16,CAP255_2000_008WPI_4D,0
PC39-50I,HXB2,0
PC39-17A,ZM135_10A,0
M4008_N1,CNE20,0
PGT142,NL43,0
PGT121,1HD1_W4_012016_C12_S94,0
DH851.3,9004SS_A3_4,0
35O22,MG505_W0M_A2,0
2G12,P2059_B12,0
DJ85-c.01,C1080_C3,0
DF1W-a.02,3637_V5_C3,0
DF1W-a.02,25711_2_4,0
PGDM21,CAP210_E8,0
PGT121,1HC2_W4_012016_F6_S83,0
10-1074,9372_BL_E6_1,0
m66,CNE56,0
VRC-PG05,TH976_17,0
44715-a.01,ZM246F,0
PCT64-35B,ZM214_15,0
PGT151,R3265_C6,0
IOMA-HC-DDE,703010054_2A2,0
VRC26.02,96ZM651_02,0
3BC315,0439_V5_C1,0
IOMA-HC-DDE,CNE55,0
E51,6471_V1_C16,0
10-1074,242_14,0
vFP1.01,ZM55_28A,0
VRC34.05,235_47,0
vFP5.01,H086_8,0
vFP7.05,CNE12,0
DH650.8,16055_2_3,0
HJ16,ZM53_12,0
M1214_N2,DU156_12,0
PCT64-35M,CH038_12,0
VRC41.01,Q769_D22,0
CAP257-RH1,3589_V1_C4,0
2557,JRCSF,0
VRC33.01,3301_V1_C24,0
PCDN-22B,94UG103,0
VRC34.07,TRJO4551_58,0
3906,REJO4541_67,0
DJ85-a.01,TRJO4551_58,0
HJ16,PRB926_04_A9_4237,0
DRVIA7,DRVI01_0507_14,0
PGT135,CAP256_SU,0
IOMAmin5,T250_4,0
CH01,3326_V4_C3,0
vFP53.02,T255_34,0
3BC315,ADA,0
HmAb64,TH966_8,0
vFP5.01,CNE10,0
VRC07-523LS.v34,BL01,0
VRC26.04,TRJO4551_58,0
2723-2121,703010217_B6,0
15e,Q769_D22,0
DH270.6,CNE15,0
2F5,0041_V3_C18,0
15e,CH117_4,0
PGT121,9341_W5_S40_B6,0
41328-a.01,BJOX025000_01_1,0
GPZ6-a.01,Q259_17,0
PCT64-35D,ADA,0
DH270 IA4,DU422_1,0
HmAb64,ZM106_9,0
