antibody_id,virus_id,neut
PC39-55D,SC422_8,0
10-1074,9252_REBOUND_S70_D5,0
PCDN-16B,BG505_W6M_C2,0
VRC41.01,CNE58,0
vFP49.02,0077_V1_C16,0
PGT143,98CN006,0
VRC03,DU123_06,0
830A,B005_ENV03,0
PC39-50C,ZM249_1,0
DH270min11,CAP210_E8,0
VRC34.06,JRCSF,0
VRC-PG05,T257_31,0
DRVIA7,H086_8,0
PCDN-38B,C1080_C3,0
42056-a.01,0013095_2_11,0
44715-a.01,P1981_C5_3,0
ACS130,WITO4160_33,0
vFP49.02,X2088_C9,0
PCDN-27A,REJO4541_67,0
8ANC134,00836_2_5,0
TRNM-b.01,CH070_1,0
8ANC134,T255_34,0
vFP7.04,3988_25,0
Z13e1,CNE3,0
15e,0330_V4_C3,0
PCIN77D,WEAU_D15_410,0
VRC34-pI2 H33P,KER2008_12,0
2408b,NKU3006_EC1,0
PC39-23B,KNH1144,0
VRC34-pI3,00836_2_5,0
2413b,286_36,0
48d,BB201_B42,0
N49P23,T250_4,0
b6,CAP88_6M_C10,0
DH270.6,ZM109_4,0
vFP49.02,6535_3,0
DH270 IA4,Q769_D22,0
VRC26.18,CNE3,0
MinVRC01,DU172_17,0
2F5,CNE40,0
2408b,A03349M1_VRC4A,0
N49P22,BJOX025000_01_1,0
vFP5.01,X2088_C9,0
DH851.2,001428_2_42,0
PC39-61B,YU2,0
VRC44.01,001428_2_42,0
V033-a.01,MW965_26,0
A12V163-b.01,ZM135_10A,0
VRC06,T278_50,0
PCDN-27B,YU2,0
VRC01 UCA,246_F3_C10_2,0
PCT64-35M,6952_V1_C20,0
VRC-PG05,CE1172_H1,0
VRC34-pI2',CNE56,0
PG9,6480_V4_C25,0
VRC26.19,KER2008_12,0
PCT64-24G,TRJO4551_58,0
PGT121,5257_V7_G10_1,0
VRC34.07,6101_1,0
2413a,CNE5,0
T646-a.01,CE1086_B2,0
vFP48.02,BJOX025000_01_1,0
PCIN77D,703010200_1E5,0
VRC06b,ZM246F,0
KD-247,REJO4541_67,0
PGT135,ZM214_15,0
PCDN-38A,Q769_D22,0
DH1317.4,V704_3008_040ESN,0
PCT64-18C,RHPA4259_7,0
DH851.1,6240_08_TA5_4622,0
DH270min12,Q842_D12,0
Z13e1,288_38,0
PCT64-35S,6244_13_B5_4567,0
VRC42.04,ZA012_29,0
PGT121,CE2103_E8,0
3BNC117,SHIV_CNE40_JB98_W29_2,0
ACS130,BJOX009000_02_4,0
VRC46.01,CNE53,0
V033-a.01,ZA012_29,0
DJ85-a.01,NKU3006_EC1,0
VRC34-pI3,NKU3006_EC1,0
PGT142,ZM215_8,0
M1214_N2.2,CNE30,0
PC39-45B,ZM249_1,0
VRC26.25,3637_V5_C3,0
2408b,MS208_A1,0
PGT141,92UG046,0
HmAb64,MI369_A5,0
PCIN71F,REJO4541_67,0
0PV-b.01,CH181_12,0
PGT152,SC05_8C11_2344,0
PC39-50H,92TH021,0
PC39-55C,BG505_W6M_C2,0
VRC-CH34,TV1_29,0
PG9,6631_V3_C10,0
44715-a.01,231965_C1,0
RHA10.04,16055_2_3,0
VRC34-pI3HCpI2LC,CNE19,0
VRC44.01,3988_25,0
vFP20.01,3589_V1_C4,0
DH511.2,CAP308_2_00_E11_35,0
VRC26.27,AC10_29,0
PCT64-35M,DU172_17,0
VRC38.01,3016_V5_C45,0
vFP7.04,Q769_D22,0
PGDM21,CE2010_F5,0
HERH-b.01,T257_31,0
VRC26.25,CNE56,0
vFP52.02,CAP210_E8,0
2F5,CAP308_2_00_E11_35,0
PGT121,2936_V9_A3_3,0
VRC06b,BJOX028000_10_3,0
PGT142,231965_C1,0
DH270 IA4,CNE58,0
DH270min12,UG024_2,0
0PV-b.01,6545_V4_C1,0
IOMAmin3,CE1172_H1,0
VRC44.02,Q461_E2,0
DFPH-a.15,CNE5,0
DJ85-d.01,C4118_9,0
LJF-0109,45_01DG5,0
CAP257-RH1,DU172_17,0
VRC44.02,703010217_B6,0
DH270min12,BG505_W6M_C2,0
N49P23,6540_V4_C1,0
VRC26.26,6811_V7_C18,0
0PV-c.01,6545_V4_C1,0
6070-a.01,89_F1_2_25,0
DH851.2,T257_31,0
DH270.5,T257_31,0
41328-a.01,CE1172_H1,0
8ANC134,QH0515_1,0
VRC34.01,SC422_8,0
2G12,Q842_D12,0
F105,ZM53_12,0
VRC38.01,6480_V4_C25,0
VRC07-523LS.v11,6471_V1_C16,0
VRC38.02,TRO_11,0
N49P9.1,89_F1_2_25,0
HJ16,249M_B10,0
PC39-50I,1054_07_TC4_1499,0
HERH-a.01,26191_2_48,0
PGT121,693_1969_V11_A11_4_REBOUND,0
DH270 IA4,CH848_0000_TF,0
HmAb64,CNE31,0
DF1W-a.02,CNE31,0
2413c,CNE14,0
EN02_05_B08,6952_V1_C20,0
VRC34-pI3HCpI2LC,25710_2_43,0
VRC01 UCA,703010217_B6,0
PGZL1,89_F1_2_25,0
12A12,00836_2_5,0
42056-a.01,Q259_17,0
PGT151,CE2010_F5,0
m66.6,ZM53_12,0
m66,C1080_C3,0
DH270.2,DU172_17,0
VRC26.21,6535_3,0
CAP257-RH1,ZM214_15,0
VRC34.01_Combo1,SC422_8,0
44715-a.01,ZM246F,0
2413c,CH117_4,0
VRC26.06,CNE14,0
PGT121,2990_V7_C2_3,0
VRC43.01,KER2008_12,0
DH851.1,191955_A11,0
PCT64-35B,BJOX015000_11_5,0
VRC08,H086_8,0
PGT130,CNE17,0
V031-a.01,QH0692_42,0
PC39-17C,KNH1144,0
E70,DU156_12,0
VRC34-pI2',286_36,0
A16,MG505_W0M_A2,0
4022,ZM233_6,0
DF1W-a.01,BJOX025000_01_1,0
A12V163-a.01,25711_2_4,0
EN02_05_B08,KER2018_11,0
DH851.2,CNE5,0
VRC26.03,C3347_C11,0
2F5,SO186_H6_5,0
LJF-0024,DJ263_8,0
AIIMS-P01,WITO4160_33,0
b13,00836_2_5,0
M4008_N1,DU422_1,0
2413c,H086_8,0
RHA1.V2.01,Q769_D22,0
DH650.8,703010054_2A2,0
PGT135,MGRM_AG_002,0
PCT64-35O,X2088_C9,0
PC39-17B,KNH1144,0
VRC26.27,CNE10,0
IOMA,16055_2_3,0
Bess4,6811_V7_C18,0
Z13e1,BB201_B42,0
VRC06b,T251_18,0
48d,231965_C1,0
2557,ZM249_1,0
CH12,R3265_C6,0
44715-a.01,211_9,0
PC39-50G,ZM53_12,0
DJ85-a.01,703010217_B6,0
ACS117,89_F1_2_25,0
DJ85-e.01,001428_2_42,0
HmAb64,TRO_11,0
VRC26.02,Q259_17,0
VRC03,MI369_A5,0
DH650.8,231966_C2,0
VRC06b,T250_4,0
RHA1.V2.01,ZM135_10A,0
2F5,21561324_D3_B5,0
VRC26.01,MS208_A1,0
Bess4,62357_14_D3_4589,0
Z13e1,CAP45_G3,0
DH851.4,CNE55,0
VRC34.04,TRO_11,0
10-1074,1HC3_W4_012616_C7_S77,0
DH851.3,DU156_12,0
VRC26.27,CNE30,0
VRC01,714910616_1,0
N49P19,ZM246F,0
PGT123,ZM109_4,0
DH851.1,3817_V2_C59,0
vFP20.01,0013095_2_11,0
b12,263_8,0
VRC26.14,0260_V5_C36,0
VRC34-pI3,Q461_E2,0
PGT135,704809221_1B3,0
NIH45-46,T278_50,0
DF1W-a.01,620345_C1,0
GPZ6-a.01,703010217_B6,0
PCDN-38A,X2131_C1_B5,0
DH511.2,SO225_H11_12,0
ACS101,246_F3_C10_2,0
DH511_I6,CH119_10,0
PGT154,TRJO4551_58,0
VRC03,7165_18,0
VRC26.21,AC10_29,0
HERH-c.01,89_6,0
PGDM1400,569_F1_37_10,0
PCT64-35B,TRO_11,0
42056-a.01,T278_50,0
2F5,CE0089_G2,0
CH235,26191_2_48,0
179NC75,3365_V2_C20,0
VRC26.15,KER2008_12,0
HmAb64,89_6,0
V031-a.01,WEAU_D15_410,0
VRC08c,BJOX002000_03_2,0
VRC44.01,6471_V1_C16,0
T646-a.01,6535_3,0
ACS114,BJOX015000_11_5,0
DF1W-a.02,CH117_4,0
DH270.6,6095_V1_C10,0
PGC14,98CN006,0
PC39-17A,Q23_17,0
VRC34.05,703010217_B6,0
PGDM1400,2319_V7_H3_2,0
HJ16,T280_5,0
PC39-39A,CAP45_G3,0
VRC26.23,TRO_11,0
vFP5.01,BS208_B1,0
ACS125,C1080_C3,0
2408b,TH023_6,0
CH12,BG505_W6M_C2,0
5695-b.01,ZM214_15,0
m66,CNE55,0
PC39-23A,6480_V4_C25,0
VRC34.05,Q461_E2,0
DH796.1,25711_2_4,0
PGT121,20355851_20,0
DF1W-a.01,DJ263_8,0
179NC75,16845_2_22,0
VRC07-523LS.v11,620345_C1,0
DH1317.4,6240_08_TA5_4622,0
2G12,CAP40_2_01_A3_5,0
CH59,SF162,0
PCT64-35D,BJOX025000_01_1,0
F105,Q23_17,0
PCT64-24F,DH12,0
HJ16,CE0682_E4,0
PCDN-16B,CAP45_G3,0
PCT64-18D,T257_31,0
VRC26.07,DU422_1,0
2G12,CE2060_G9,0
VRC26.09,KER2008_12,0
