antibody_id,virus_id,neut
HJ16,ZM233_6,0
VRC38.02,6540_V4_C1,0
HmAb64,DU422_1,0
PGT137,VLGC_A1,0
447-52D,X2088_C9,0
VRC26.16,TRO_11,0
V033-a.01,BAL_01,0
TRNM-b.01,288_38,0
VRC-PG04b,3016_V5_C45,0
35O22,B011_ENV04,0
VRC34.01,269_12,0
10-1074,5257_V7_E2_1,0
GPZ6-a.01,231965_C1,0
VRC06b,191955_A11,0
VRC26.28,96ZM651_02,0
DJ85-d.01,00836_2_5,0
A12V163-a.02,CAP210_E8,0
PGDM11,BJOX010000_06_2,0
IOMA,ZM109_4,0
4E9C,CAAN5342,0
ACS125,Q461_E2,0
VRC34.05,R3265_C6,0
A12V163-b.01,DU172_17,0
6070-a.01,BJOX025000_01_1,0
EN02_05_B08,H086_8,0
b12,6405_V4_C34,0
Min12A21,BJOX010000_06_2,0
LJF-0024,00836_2_5,0
PCT64-35S,X1632_S2_B10,0
Min12A21,16845_2_22,0
10-1074,9341_W5_S38_B5,0
Bess4,6244_13_B5_4567,0
2408b,ZA012_29,0
DJ85-c.01,MS208_A1,0
PC39-39B,CNE58,0
IOMA-HC-DDE,CH119_10,0
VRC26.24,ZM214_15,0
VRC-PG04b,CNE3,0
m66,CNE10,0
PCDN-38A,C4118_9,0
DH796.1,0330_V4_C3,0
VRC26.23,92RW020_2,0
ACS122,ZM214_15,0
vFP16.02,X2278_C2_B6,0
b12,GX13_7,0
vFP49.02,Q259_17,0
VRC38.09,ZM55_28A,0
PGT135,0330_V4_C3,0
1361,DU172_17,0
2G12,CA327_D2_2,0
DF1W-a.01,CNE53,0
VRC33.01,ZM55_28A,0
PCDN-27A,WITO4160_33,0
PC39-17A,T255_34,0
ACS125,3016_V5_C45,0
VRC03,TH966_8,0
447-52D,T250_4,0
PCIN71D2b,94UG103,0
DH851.3,CE0682_E4,0
VRC41.01,6540_V4_C1,0
17b,T253_11,0
2G12,RHPA4259_7,0
vFP7.04,0260_V5_C36,0
A12V163-b.01,CH181_12,0
PGT151,CNE5,0
b12,CE1172_H1,0
10-1074,1HD6K_W8_072616_G10_S70,0
PCDN-38B,ZM53_12,0
VRC06b,3016_V5_C45,0
35O22,SHIV_CNE40_JD14_W29_3,0
m66.6,3718_3_11,0
VRC26.08,3415_V1_C1,0
TRNM-f.01,00836_2_5,0
CAP257-RH1,P1981_C5_3,0
IOMA,P1981_C5_3,0
4E10,B028_ENV03,0
EN02_01_D03,7165_18,0
VRC34-pI3,A07412M1_VRC12,0
CH103,BJOX028000_10_3,0
4E10,RBF125,0
M4008_N1,SC422_8,0
6561-a.01,Q23_17,0
2413c,89_6,0
HGN194,1056_10_TA11_1826,0
ACS122,ZM109_4,0
VRC34.01,6471_V1_C16,0
A12V163-a.02,0921_V2_C14,0
1B2530,57128_VRC15,0
PC39-50I,T257_31,0
BF520.1,Q769_B9_PNS79D,0
PCIN66B,ZM246F,0
VRC03,T257_31,0
GPZ6-b.01,Q842_D12,0
m66,92BR025_9,0
PGT127,P0402_C2_11,0
LJF-0024,ZM53_12,0
LJF-0034,KO426_T78_10,0
A12V163-a.01,T255_34,0
PC39-39B,Q769_D22,0
RHA1.V2.01,CNE19,0
DH270.5,BB201_B42,0
Ab1368,X1632_S2_B10,0
m66.6,3468_V1_C12,0
VRC26.07,CAAN5342,0
VRC42.I3,CH038_12,0
VRC03,3718_3_11,0
N6LS.C49,6471_V1_C16,0
DJ85-c.01,CH181_12,0
PGT128,703010054_2A2,0
PC39-23A,6545_V4_C1,0
6561-a.01,TRO_11,0
17b,BJOX025000_01_1,0
PGT128,ELI,0
M1214_N2,CNE53,0
A16,BI206_W6P_A1,0
VRC26.08,WEAU_D15_410,0
V033-a.01,CNE4,0
A12V163-a.01,3637_V5_C3,0
40591-a.01,3016_V5_C45,0
VRC38.08,DU422_1,0
35O22,703010200_1E5,0
PC39-23A,62357_14_D3_4589,0
PC39-55D,ZM197_7,0
VRC46.01,BB201_B42,0
VRC26.18,TRJO4551_58,0
PC39-61B,RHPA4259_7,0
VRC07-523LS.v34,6471_V1_C16,0
b12,SO706_T10B_3,0
VRC26.28,ZM135_10A,0
CAP257-RH1,BR07,0
V033-a.01,QH209_14M_A2,0
DH717.2,Q23_17,0
N6LS.C49,6545_V4_C1,0
PC39-17A,Q461_E2,0
VRC26.06,TZA125_17,0
ElsE2,BJOX025000_01_1,0
VRC34.05,TV1_29,0
Min12A21,191955_A11,0
2413a,16845_2_22,0
VRC-PG05,BG1168_1,0
VRC03,CNE3,0
