antibody_id,virus_id,neut
2G12,3728_V2_C6,0
PC39-23D,CNE58,0
PCT64-24E,0013095_2_11,0
VRC38.01,CNE10,0
1C2-rabbit,TZA125_17,0
2408b,P1981_C5_3,0
PGDM1400,98_F4_H5_13,0
VRC03,A07412M1_VRC12,0
VRC42.03,TH966_8,0
V033-a.01,UG024_2,0
PC39-23A,62357_14_D3_4589,0
0PV-c.01,CNE56,0
PC39-23D,BJOX010000_06_2,0
vFP1.01,CNE15,0
F105,6471_V1_C16,0
PGT143,WEAU_D15_410,0
2G12,0921_V2_C14,0
VRC07f,TRO_11,0
F105,TH976_17,0
PGT151,CNE3,0
15e,25925_2_22,0
CH04,B004_ENV02,0
HGN194,T251_18,0
A12V163-b.01,242_14,0
HGN194,235_47,0
VRC06,57128_VRC15,0
VRC38.01,16845_2_22,0
vFP7.04,TH966_8,0
VRC44.01,3988_25,0
CH103,0077_V1_C16,0
PCT64-35G,001428_2_42,0
PGT152,A07412M1_VRC12,0
A12V163-a.02,C1080_C3,0
PC39-55D,231965_C1,0
2F5,703010228_1C4,0
ACS101,X2131_C1_B5,0
CH12,247_23,0
3BNC117,VRC607_6_00_G5,0
8ANC131,R3265_C6,0
2408b,6540_V4_C1,0
48d,231965_C1,0
0PV-c.01,25711_2_4,0
Ab1289,SHIV_AD8EO,0
VRC06b,A03349M1_VRC4A,0
VRC34-pI3,CNE55,0
40591-a.01,DU422_1,0
447-52D,ZM214_15,0
PCT64-24E,SC422_8,0
ACS114,ZM249_1,0
PCIN71B,94UG103,0
VRC38.01,TRO_11,0
179NC75,DU422_1,0
VRC44.01,0921_V2_C14,0
VRC42.I3,92BR025_9,0
40591-a.01,235_47,0
2F5,6785_V5_C14,0
NIH45-46,DU172_17,0
PC39-28E,703010200_1E5,0
2F5,YN148R_9,0
2413b,T255_34,0
2413b,MB539_2B7,0
2G12,CAP290_2_00_23_6,0
VRC06b,Q842_D12,0
DFPH-a.03,SS1196_1,0
vFP5.01,RHPA4259_7,0
VRC44.01,THRO4156,0
PCT64-35N,RHPA4259_7,0
CH04,6811_V7_C18,0
DF1W-a.02,NKU3006_EC1,0
RHA1.V2.01,KO426_T78_10,0
Z13e1,3415_V1_C1,0
0PV-c.01,247_23,0
3BC315,CH181_12,0
VRC03,B010_ENV09,0
VRC42.I3,MB539_2B7,0
PGT135,CNE40,0
A12V163-a.02,CAP210_E8,0
TRNM-f.01,MS208_A1,0
VRC42.I3,QH0692_42,0
DH851.2,QH0692_42,0
PCT64-24A,RHPA4259_7,0
vFP49.02,KER2018_11,0
V033-a.01,231966_C2,0
PGT135,T251_18,0
VRC42.I3,R3265_C6,0
LJF-0087,235_47,0
48d,TRJO4551_58,0
PGDM12,CE2060_G9,0
HJ16,703010200_1E5,0
RHA10.01,DU172_17,0
F105,Q259_17,0
ACS117,CNE19,0
PCT64-35D,1006_11_C3_1601,0
DJ85-d.01,ZM249_1,0
447-52D,TH976_17,0
CH04,CNE20,0
vFP5.01,UG024_2,0
ACS122,BJOX028000_10_3,0
VRC38.05,THRO4156,0
VRC06,6540_V4_C1,0
DH270.1,3016_V5_C45,0
VRC26.03,BAL_01,0
vFP53.02,JRCSF,0
PC39-28A,CAP45_G3,0
10-1074,CE2060_G9,0
m66,TZBD_02,0
447-52D,TV1_29,0
2411a,25925_2_22,0
RHA1.V2.01,CNE31,0
2F5,BC05,0
6561-a.01,3637_V5_C3,0
VRC26.20,PVO_4,0
HGN194,T252_7,0
VRC26.03,CNE3,0
6561-a.01,6480_V4_C25,0
PC39-23B,CAP210_E8,0
F105,6631_V3_C10,0
Ab1456,SHIV_AD8EO,0
PGT126,B015_ENV07,0
5695-b.01,6952_V1_C20,0
vFP5.01,TH976_17,0
VRC06,6785_V5_C14,0
PGT143,3016_V5_C45,0
PC39-50A,ZM249_1,0
2408b,16845_2_22,0
b13,ZA012_29,0
8ANC195,92BR025_9,0
N49P22,703010054_2A2,0
VRC03,MB539_2B7,0
VRC46.01,92BR025_9,0
VRC-PG04,R3265_C6,0
VRC42.I3,0330_V4_C3,0
Min12A21,ZM249_1,0
VRC34.05,QH209_14M_A2,0
vFP53.02,T257_31,0
447-52D,ZM249_1,0
VRC26.12,KER2018_11,0
T646-a.01,ZM214_15,0
vFP5.01,3637_V5_C3,0
DH851.2,16845_2_22,0
VRC26.27,CNE30,0
PGT135,62357_14_D3_4589,0
vFP5.01,SS1196_1,0
1-79,ZM53_12,0
vFP5.01,6540_V4_C1,0
VRC26.12,92RW020_2,0
PCIN71L,89_6,0
VRC38.01,T257_31,0
10-1074,693_2215_V9_D7_3_REBOUND,0
LJF-0085,CNE15,0
HERH-c.01,25711_2_4,0
PCDN-33A,C1080_C3,0
48d,A03349M1_VRC4A,0
PC39-28E,6540_V4_C1,0
PC39-45B,BG505_W6M_C2,0
VRC-PG04,6540_V4_C1,0
5695-b.01,703010054_2A2,0
ACS130,THRO4156,0
6561-a.01,ZM53_12,0
VRC46.01,UG021_16,0
VRC40.02,45_01DG5,0
PGT135,CM244_EC1,0
PCIN71N1a,DU156_12,0
2411a,H086_8,0
2408b,ZM249_1,0
VRC26.06,0815_V3_C3,0
48d,T278_50,0
A12V163-a.02,BX08_16,0
2557,ZM249_1,0
VRC06b,3637_V5_C3,0
vFP1.01,SS1196_1,0
PCT64-35M,CNE20,0
DJ85-a.01,CH070_1,0
DH270.1,00836_2_5,0
LJF-0109,ZM53_12,0
b13,DU172_17,0
A16,B01,0
2F5,19314479_A2_5,0
J038,6631_V3_C10,0
m66,3016_V5_C45,0
PGT123,C1080_C3,0
1-79,ZENV91_0505_12,0
ACS114,191955_A11,0
VRC44.01,CNE58,0
M1214_N2.2,Q23_17,0
F105,ZM53_12,0
VRC-PG04,3016_V5_C45,0
VRC26.11,TRO_11,0
CH12,235_47,0
PC39-50C,ZM249_1,0
vFP53.02,235_47,0
VRC23b,3988_25,0
PC39-50I,6540_V4_C1,0
179NC75,CNE10,0
VRC38.01,CNE8,0
vFP49.02,X1254_C3,0
IOMA,16055_2_3,0
HJ16,ZM55_28A,0
M1214_N2,DU172_17,0
N6LS.C58,620345_C1,0
VRC26.15,TH976_17,0
b13,C4118_9,0
VRC07-523LS.v11,6471_V1_C16,0
2G12,C1080_C3,0
10-1074,6775_V7_D2_4,0
VRC03,9004SS_A3_4,0
PGZL1_gVmDmJ,703010054_2A2,0
VRC46.01,T251_18,0
2F5,BC11,0
VRC43.01,MS208_A1,0
HERH-a.01,CNE55,0
2F5,HEB87_2,0
DH1317.9,AC10_29,0
A12V163-b.01,CNE31,0
DF1W-a.02,HXB2,0
V033-a.01,X1254_C3,0
PG16,NAB5PRE_CL_1,0
PGT137,APV_6,0
vFP7.04,AC10_29,0
CH04,6480_V4_C25,0
HJ16,PRB926_04_A9_4237,0
6561-a.01,TH976_17,0
VRC44.01,3016_V5_C45,0
PGT123,191821_E6_1,0
ACS114,16845_2_22,0
1393A,ZM249_1,0
PC39-28E,0013095_2_11,0
ACS122,231965_C1,0
m66,JRCSF,0
VRC44.01,HT593_1,0
A12V163-b.01,PVO_4,0
A12V163-b.01,BB201_B42,0
VRC06,6631_V3_C10,0
CH103,92BR025_9,0
0.5gamma,THRO_C,0
6561-a.01,CE1086_B2,0
3BC315,16845_2_22,0
GPZ6-a.01,DU156_12,0
TRNM-f.01,C2101_C1,0
vFP5.01,CNE4,0
VRC23,6471_V1_C16,0
PCT64-24E,93IN905,0
M1214_N2,X1254_C3,0
vFP1.01,RHPA4259_7,0
VRC44.01,235_47,0
N49P7,TZBD_02,0
PGT141,92UG005,0
Bess4,CNE19,0
vFP53.02,0330_V4_C3,0
DH270.1,CNE4,0
DF1W-a.01,C1080_C3,0
PC39-28E,T250_4,0
PC39-50L,62357_14_D3_4589,0
10-1074,2305_V7_E5_2,0
4E10,6631_V3_C10,0
NC-Cow1,X2088_C9,0
A16,CNE23,0
DH270 IA3,CH848_D526_25_09,0
VRC26.02,Q23_17,0
V033-a.01,QH209_14M_A2,0
VRC26.09,T252_7,0
447-52D,T278_50,0
vFP5.01,P1981_C5_3,0
vFP49.02,0077_V1_C16,0
DH270min12,DU151_02,0
PG9,6322_V4_C1,0
VRC34-pI3,UG024_2,0
V033-a.01,62357_14_D3_4589,0
2G12,BC18,0
PCT64-18F,CAAN5342,0
O.3,DJ263_8,0
ACS130,CNE55,0
A12V163-a.01,CNE10,0
VRC06,QH209_14M_A2,0
PCT64-35M,UG021_16,0
Bess4,TRO_11,0
2G12,ZM249_1,0
PG9,B015_ENV07,0
447-52D,B001_ENV02,0
PCT64-24E,Q259_17,0
T646-a.01,A07412M1_VRC12,0
PC39-28E,A07412M1_VRC12,0
PGZL1_gVmDmJ,Q769_D22,0
ACS202,Q842_D12,0
PCT64-35N,CAAN5342,0
HJ16,9004SS_A3_4,0
IOMA,231965_C1,0
PGZL1_gVmDmJ,CNE17,0
A12V163-a.02,TRO_11,0
AIIMS-P01,T257_31,0
DJ85-b.01,CH038_12,0
VRC44.02,231965_C1,0
A12V163-b.01,3637_V5_C3,0
3BNC117,SHIV_CNE40_JB98_W29_28,0
PGT126,6952_V1_C20,0
Bess1,ZM214_15,0
CH04,B002_ENV03,0
CH12,CM244_EC1,0
VRC34.07,DU156_12,0
LJF-0087,CNE55,0
8ANC195,CNE53,0
DF1W-a.02,25711_2_4,0
PGT123,CE2060_G9,0
LJF-0142,CH070_1,0
DH583,CM244_EC1,0
ACS117,CNE53,0
10-1074,1HC3_W4_012016_H5_S21,0
41328-a.01,62357_14_D3_4589,0
vFP1.01,CNE58,0
CH04,89_F1_2_25,0
NC-Cow8,191955_A11,0
ACS101,RHPA4259_7,0
VRC26.03,3637_V5_C3,0
IOMA,CAP256_SU,0
VRC26.20,TRJO4551_58,0
VRC34.05,CNE3,0
PCIN77C,BAL_01,0
PC39-50I,T251_18,0
48d,ZM249_1,0
3019,RHPA4259_7,0
NC-Cow4,191955_A11,0
PGT135,93UG065,0
179NC75,6101_1,0
PGT137,92RW009,0
NC-Cow1,16845_2_22,0
0PV-c.01,3168_V4_C10,0
ElsE1,WEAU_D15_410,0
PGT135,620345_C1,0
PCDN-27B,WITO4160_33,0
2F5,6244_13_B5_4567,0
PC39-23A,231965_C1,0
PCT64-35D,JRFL,0
PCT64-24G,92BR020,0
PCIN71L,9004SS_A3_4,0
DH270min12,NKU3006_EC1,0
0PV-b.01,DU156_12,0
N49P9.1,Q259_17,0
PGDM13,92TH021,0
VRC26.03,M02138,0
PG16,B006_ENV10,0
2G12,Q842_D12,0
vFP53.02,TV1_29,0
VRC01-30fH/19fL,DU422_1,0
ACS202,CNE4,0
DJ85-b.01,T251_18,0
DH270min12,Q769_D22,0
2408b,JRCSF,0
vFP53.02,DU151_02,0
CH12,RHPA4259_7,0
2G12,93UG065,0
VRC23,C3347_C11,0
Bess1,ZM53_12,0
VRC26.07,6535_3,0
HERH-a.01,R1166_C1,0
vFP49.02,CH070_1,0
DJ85-a.01,NKU3006_EC1,0
DH270.3,Q769_D22,0
PC39-50I,BJOX028000_10_3,0
3BNC117,H086_8,0
PGT142,BR07,0
PGT143,CNE19,0
IOMA-HC-DDE,BJOX010000_06_2,0
2F5,SHIV_CNE40_JD14_W29_2,0
PC39-50I,X2088_C9,0
PGT137,92RW024,0
HJ16,CNE52,0
GPZ6-a.01,P1981_C5_3,0
PC39-23A,C1080_C3,0
48d,AIIMS731_73105E,0
VRC23,TZA125_17,0
VRC26.23,DU172_17,0
41328-a.01,SC422_8,0
2G12,BJX4_6,0
